country,label
Afghanistan,0
Albania,1
Algeria,1
Angola,0
Argentina,2
Armenia,1
Australia,2
Austria,2
Azerbaijan,0
Bahrain,1
Bangladesh,0
Belarus,1
Belgium,2
Belize,2
Benin,0
Bhutan,1
Bolivia,1
Bosnia and Herzegovina,1
Botswana,0
Brazil,2
Bulgaria,1
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,2
Central African Republic,0
Chad,0
Chile,2
China,1
Colombia,1
Comoros,0
Congo,1
Costa Rica,2
Croatia,1
Cuba,1
Cyprus,1
Czechia,2
Côte d’Ivoire,1
DR Congo,0
Denmark,2
Djibouti,0
Dominican Republic,1
Ecuador,1
Egypt,0
El Salvador,2
Estonia,2
Eswatini,0
Ethiopia,0
Finland,2
France,2
Gabon,1
Gambia,0
Georgia,1
Germany,2
Ghana,0
Greece,1
Guatemala,2
Guinea,0
Guyana,1
Haiti,0
Honduras,1
Hong Kong SAR of China,1
Hungary,1
Iceland,2
India,0
Indonesia,1
Iran,1
Iraq,1
Ireland,2
Israel,2
Italy,2
Jamaica,1
Japan,1
Jordan,0
Kazakhstan,2
Kenya,0
Kosovo,2
Kuwait,2
Kyrgyzstan,1
Lao PDR,1
Latvia,2
Lebanon,0
Lesotho,0
Liberia,0
Libya,1
Lithuania,2
Luxembourg,2
Madagascar,0
Malawi,0
Malaysia,1
Maldives,1
Mali,0
Malta,2
Mauritania,0
Mauritius,1
Mexico,2
Mongolia,1
Montenegro,1
Morocco,0
Mozambique,1
Myanmar,0
Namibia,0
Nepal,1
Netherlands,2
New Zealand,2
Nicaragua,2
Niger,0
Nigeria,0
North Cyprus,1
North Macedonia,1
Norway,2
Oman,2
Pakistan,0
Panama,2
Paraguay,1
Peru,1
Philippines,1
Poland,2
Portugal,1
Puerto Rico,2
Qatar,2
Republic of Korea,1
Republic of Moldova,1
Romania,2
Russian Federation,1
Rwanda,0
Saudi Arabia,2
Senegal,0
Serbia,2
Sierra Leone,0
Singapore,2
Slovakia,2
Slovenia,2
Somalia,0
Somaliland Region,1
South Africa,1
South Sudan,0
Spain,2
Sri Lanka,0
State of Palestine,0
Sudan,0
Suriname,2
Swaziland,0
Sweden,2
Switzerland,2
Syria,0
Taiwan Province of China,2
Tajikistan,1
Tanzania,0
Thailand,2
Togo,0
Trinidad and Tobago,1
Tunisia,0
Turkmenistan,1
Türkiye,1
Uganda,0
Ukraine,0
United Arab Emirates,2
United Kingdom,2
United States,2
Uruguay,2
Uzbekistan,2
Venezuela,1
Viet Nam,2
Yemen,0
Zambia,0
Zimbabwe,0
