country,label,Lower_whisker,Upper_whisker,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Dystopia_+_residual
Afghanistan,0,1.301,1.427,0.649,0.0,0.155,0.0,0.075,0.135,0.348
Albania,1,5.284,5.539,1.371,1.122,0.696,0.841,0.103,0.057,1.22
Algeria,1,5.469,5.674,1.315,1.363,0.782,0.522,0.057,0.219,1.313
Angola,0,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Argentina,2,6.302,6.492,1.504,1.622,0.579,0.824,0.048,0.083,1.736
Armenia,1,5.391,5.596,1.391,1.349,0.828,0.786,0.032,0.158,0.95
Australia,2,6.89,7.057,1.767,1.647,0.841,0.857,0.164,0.285,1.413
Austria,2,6.728,6.891,1.791,1.592,0.814,0.856,0.179,0.28,1.297
Azerbaijan,0,4.78,4.969,1.428,1.03,0.707,0.785,0.076,0.179,0.67
Bahrain,1,5.891,6.17,1.752,1.391,0.609,0.907,0.148,0.167,1.057
Bangladesh,0,3.753,3.949,1.116,0.286,0.592,0.92,0.11,0.132,0.695
Belarus,1,5.693,5.95,1.562,1.157,0.629,0.342,0.04,0.282,1.811
Belgium,2,6.845,6.974,1.783,1.646,0.852,0.895,0.119,0.306,1.309
Belize,2,6.432,6.989,1.256,1.54,0.525,1.018,0.072,0.082,2.218
Benin,0,4.222,4.492,0.855,0.228,0.357,0.679,0.092,0.238,1.909
Bhutan,1,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Bolivia,1,5.758,5.977,1.173,1.356,0.346,0.817,0.067,0.052,2.057
Bosnia and Herzegovina,1,6.039,6.234,1.405,1.545,0.616,0.749,0.178,0.009,1.635
Botswana,0,3.301,3.576,1.388,1.146,0.094,0.697,0.018,0.083,0.012
Brazil,2,6.394,6.593,1.391,1.519,0.48,0.83,0.089,0.127,2.057
Bulgaria,1,5.46,5.647,1.573,1.725,0.463,0.708,0.055,0.0,1.029
Burkina Faso,0,4.26,4.506,0.724,0.828,0.296,0.671,0.142,0.218,1.504
Burundi,0,3.565,3.985,0.0,0.062,0.155,0.298,0.172,0.212,2.876
Cambodia,0,4.237,4.446,1.049,1.215,0.481,0.988,0.138,0.078,0.393
Cameroon,0,4.767,5.007,0.944,0.986,0.302,0.662,0.099,0.06,1.834
Canada,2,6.718,6.888,1.749,1.647,0.832,0.813,0.168,0.323,1.271
Central African Republic,0,3.25014138221741,3.70165848731995,0.0410720817744732,0.0,0.0,0.292814463376999,0.253513216972351,0.0282647181302309,2.8601975440979
Chad,0,4.253,4.515,0.592,0.902,0.242,0.477,0.175,0.111,1.884
Chile,2,6.273,6.449,1.537,1.577,0.711,0.779,0.093,0.085,1.579
China,1,5.819,6.023,1.445,1.307,0.789,0.764,0.079,0.154,1.382
Colombia,1,5.897,6.112,1.38,1.513,0.587,0.777,0.039,0.051,1.658
Comoros,0,3.59,3.919,0.835,0.501,0.428,0.26,0.117,0.164,1.45
Congo,1,4.855,5.205,1.023,0.796,0.336,0.626,0.082,0.126,2.04
Costa Rica,2,7.187,7.361,1.492,1.6,0.68,0.948,0.067,0.118,2.369
Croatia,1,5.777,5.963,1.644,1.673,0.669,0.478,0.022,0.065,1.319
Cuba,1,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Cyprus,1,5.827,6.058,1.72,1.348,0.84,0.612,0.108,0.041,1.273
Czechia,2,6.696,6.854,1.692,1.716,0.658,0.916,0.118,0.084,1.591
Côte d’Ivoire,1,4.967,5.238,1.038,0.76,0.206,0.661,0.1,0.162,2.176
DR Congo,0,3.331,3.608,0.544,0.929,0.278,0.6,0.151,0.061,0.906
Denmark,2,7.431,7.611,1.825,1.748,0.82,0.955,0.15,0.488,1.535
Djibouti,0,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Dominican Republic,1,5.705,5.988,1.457,1.5,0.615,0.866,0.063,0.186,1.16
Ecuador,1,5.848,6.083,1.299,1.32,0.702,0.712,0.058,0.066,1.808
Egypt,0,3.725,3.909,1.347,1.075,0.473,0.593,0.018,0.103,0.21
El Salvador,2,6.365,6.619,1.222,1.228,0.559,0.955,0.054,0.264,2.211
Estonia,2,6.337,6.497,1.65,1.716,0.642,0.902,0.128,0.378,1.001
Eswatini,0,3.654,3.893,1.183,1.152,0.038,0.428,0.054,0.13,0.79
Ethiopia,0,3.786,4.011,0.757,1.051,0.416,0.54,0.182,0.1,0.852
Finland,2,7.662,7.81,1.749,1.783,0.824,0.986,0.11,0.502,1.782
France,2,6.517,6.668,1.733,1.535,0.832,0.743,0.099,0.264,1.386
Gabon,1,4.985,5.256,1.386,1.224,0.387,0.651,0.042,0.086,1.343
Gambia,0,4.315,4.53,0.778,0.958,0.348,0.611,0.255,0.045,1.428
Georgia,1,5.304,5.496,1.444,1.275,0.482,0.844,0.0,0.172,1.182
Germany,2,6.652,6.854,1.785,1.625,0.776,0.858,0.148,0.351,1.21
Ghana,0,4.235,4.444,1.053,1.01,0.438,0.771,0.139,0.025,0.904
Greece,1,5.677,5.875,1.608,1.438,0.725,0.396,0.003,0.063,1.543
Guatemala,2,6.222,6.503,1.249,1.33,0.376,0.882,0.075,0.085,2.365
Guinea,0,4.787,5.07,0.873,0.791,0.306,0.676,0.157,0.098,2.027
Guyana,1,5.693,5.933,1.332,1.391,0.547,0.76,0.112,0.118,1.392
Haiti,0,3.276,3.953,0.294,0.173,0.227,0.257,0.463,0.139,2.06
Honduras,1,5.821,6.108,1.036,1.187,0.436,0.862,0.134,0.079,2.229
Hong Kong SAR of China,1,5.417,5.566,1.79,1.41,0.948,0.674,0.116,0.386,0.168
Hungary,1,5.809,6.02,1.638,1.742,0.587,0.681,0.099,0.057,1.111
Iceland,2,7.425,7.606,1.799,1.84,0.873,0.971,0.201,0.173,1.659
India,0,4.32,4.457,1.149,0.86,0.316,0.914,0.141,0.12,0.889
Indonesia,1,5.516,5.717,1.288,1.372,0.454,0.918,0.323,0.044,1.218
Iran,1,4.994,5.193,1.33,1.367,0.609,0.456,0.202,0.122,1.007
Iraq,1,4.866,5.085,1.261,1.275,0.589,0.503,0.1,0.069,1.178
Ireland,2,6.801,6.977,1.988,1.659,0.823,0.906,0.179,0.382,0.952
Israel,2,7.168,7.301,1.695,1.743,0.824,0.74,0.144,0.193,1.895
Italy,2,6.309,6.521,1.724,1.526,0.852,0.641,0.082,0.071,1.517
